Phase,Task ID,Task,Component,Status,Validation,Commit
Phase 0,P0-1,Create blueprints/scalping.py with page route + url_prefix /scalping,Backend,Done,Page route returns 200,
Phase 0,P0-2,Add GET /scalping/api/expiry wrapping get_expiry_dates,Backend,Done,Returns live expiry list,
Phase 0,P0-3,Add GET /scalping/api/strikes wrapping get_option_chain/get_option_symbol,Backend,Done,Returns CE/PE strikes around ATM,
Phase 0,P0-4,Register scalping_bp in app.py,Backend,Done,App imports cleanly,
Phase 0,P0-5,Create frontend types/scalping.ts,Frontend,Done,Builds,
Phase 0,P0-6,Create frontend api/scalping.ts client,Frontend,Done,Builds,
Phase 0,P0-7,Create pages/Scalping.tsx with underlying/expiry/strike dropdowns,Frontend,Done,Dropdowns populate from API,
Phase 0,P0-8,Add lazy /scalping route in App.tsx + nav entry,Frontend,Done,Route loads,
Phase 0,P0-9,Subscribe underlying (Mode 2) + CE/PE legs (Mode 1) via useMarketData,Frontend,Done,Three tickers update live,
Phase 0,P0-10,Render live tickers + WS connection-state badge,Frontend,Done,Badge reflects WS state,
Phase 0,P0-V,Phase 0 validation + commit,All,Done,Build clean + tickers live,
Phase 1,P1-1,POST /scalping/api/order wrapping place_order (auth_token+broker),Backend,Done,Sandbox MARKET order placed,
Phase 1,P1-2,POST /scalping/api/close_all wrapping close_position,Backend,Done,All positions squared off,
Phase 1,P1-3,POST /scalping/api/cancel_all wrapping cancel_all_orders,Backend,Done,All orders cancelled,
Phase 1,P1-4,Pre-resolve+cache token/lotsize/freeze_qty on strike select,Backend,Done,Keypress does zero lookups,
Phase 1,P1-5,Arm/disarm One-Click toggle,Frontend,Done,Keys inert when disarmed,
Phase 1,P1-6,Global keydown handler (arrows buy/sell CE/PE; ignore inputs),Frontend,Done,Arrows fire correct orders,
Phase 1,P1-7,F6 close-all / F7 cancel-all key bindings,Frontend,Done,F6/F7 trigger endpoints,
Phase 1,P1-8,Lot selector with cap 20 + MIS/NRML product toggle,Frontend,Done,Correct qty/product sent,
Phase 1,P1-9,Positions/Order book/Trade book tabs,Frontend,Done,Grids show live data,
Phase 1,P1-10,Running MTM + Net Qty computed client-side,Frontend,Done,MTM updates on ticks,
Phase 1,P1-V,Phase 1 validation (Analyzer) + commit,All,Done,Full entry/exit loop in sandbox,
Phase 2,P2-1,Per-position SL state machine on LTP ticks,Frontend,Done,SL evaluated each tick,
Phase 2,P2-2,Manual SL + auto-trail (no-trail-until-1rupee rule),Frontend,Done,Trail only rises,
Phase 2,P2-3,Set SL dialog (initial SL + trailing step),Frontend,Done,Dialog sets config,
Phase 2,P2-4,MARKET exit on SL breach,Frontend,Done,Sandbox exit at level,
Phase 2,P2-5,Create database/scalping_db.py (NullPool) + init in app.py,Backend,Done,DB initializes,
Phase 2,P2-6,Persist session + SL config; restore on reload,Backend,Done,State survives reload,
Phase 2,P2-V,Phase 2 validation + commit,All,Done,Trailing SL works in sandbox,
Phase 3,P3-1,Latency measurement keypress->ack,Frontend,Done,Latency logged,
Phase 3,P3-2,WS reconnect + resubscribe active legs,Frontend,Done,Legs restored on drop,
Phase 3,P3-3,Double-fire debounce + fill reconciliation,Frontend,Done,No double orders,
Phase 3,P3-4,Safety rails (lot cap enforce; arm required) + live switch doc,All,Done,Documented checklist,
Phase 3,P3-V,Phase 3 validation + commit,All,Done,Stable under rapid input,
Phase 4,P4-1,services/scalping_trail_service.py ZeroMQ trail engine (optional),Backend,Not Started,SL holds w/ tab closed,
Phase 4,P4-V,Phase 4 validation + commit,All,Not Started,Backend trail validated,
